gold,lang,variant,input,nlp_resolved,nlp_source,nlp_latency_ms,nlp_correct,e2e_verified,e2e_elapsed_sec,dispatched_count,write_source_cleanup_note
roof,tr,a_direct_tr,çatıya not ekle,roof,rules,0.01,True,True,0.53,2,
roof,en,b_direct_en,add a note to the roof,roof,rules,0.01,True,True,0.54,2,
roof,tr,c_synonym,çatıların açıklamasına yaz,roof,rules,0.01,True,True,0.55,2,
roof,tr,d_no_accent,cati elemanlarina yorum ekle,roof,rules,0.01,True,True,0.55,2,
roof,tr,e_oov_tr,binanın üst kapağına bir açıklama gir,ceiling,ollama,2682.69,False,True,0.55,2,
roof,en,f_oov_en,annotate the top covering element of the building,roof,ollama,2620.11,True,True,1.09,2,
roof,en,g_indirect,mark the element that sheds rainwater,roof,ollama,2585.06,True,True,0.54,2,
wall,tr,a_direct_tr,duvara yorum yaz,wall,rules,0.01,True,True,0.52,56,
wall,en,b_direct_en,write a comment on the wall,wall,rules,0.01,True,True,0.52,56,
wall,tr,c_synonym,bölme elemanlarına not ekle,,unresolved,2629.12,False,,,0,no_category_resolved
wall,tr,d_no_accent,duvar elemanlarina aciklama ekle,wall,rules,0.01,True,True,0.52,56,
wall,tr,e_oov_tr,dikey taşıyıcı kaplamalara bilgi gir,column,ollama,2603.61,False,True,0.55,3,
wall,en,f_oov_en,annotate the vertical partitions,wall,ollama,2724.88,True,True,1.09,56,
wall,en,g_indirect,label the enclosing vertical surfaces,wall,ollama,2758.48,True,True,0.56,56,
floor,tr,a_direct_tr,döşeme üzerine not ekle,floor,rules,0.01,True,True,0.54,8,
floor,en,b_direct_en,add a note to the floor,floor,rules,0.01,True,True,0.53,8,
floor,tr,c_synonym,zemin plakalarına yorum yaz,floor,rules,0.01,True,True,1.06,8,
floor,tr,d_no_accent,doseme elemanlarina aciklama ekle,floor,rules,0.01,True,True,0.56,8,
floor,tr,e_oov_tr,yatay taşıyıcı levhalara açıklama gir,beam,ollama,2770.93,False,False,,0,no_elements_of_category_in_model
floor,en,f_oov_en,annotate the horizontal slab elements,floor,ollama,2599.02,True,True,0.56,8,
floor,en,g_indirect,tag the surfaces you walk on,floor,ollama,2689.12,True,True,1.08,8,
door,tr,a_direct_tr,kapıya yorum ekle,door,rules,0.01,True,True,1.08,16,
door,en,b_direct_en,annotate the doors,door,rules,0.02,True,True,0.54,16,
door,tr,c_synonym,giriş kanatlarına not yaz,,unresolved,2713.64,False,,,0,no_category_resolved
door,tr,d_no_accent,kapi elemanlarina aciklama yaz,door,rules,0.01,True,True,0.54,16,
door,tr,e_oov_tr,açılan geçit elemanlarına bilgi gir,door,ollama,2766.22,True,True,0.56,16,
door,en,f_oov_en,annotate the hinged passage elements,door,ollama,2631.77,True,True,0.52,16,
door,en,g_indirect,tag the elements people walk through,door,ollama,2582.34,True,True,1.09,16,
window,tr,a_direct_tr,pencereye not yaz,window,rules,0.01,True,True,0.56,17,
window,en,b_direct_en,add a comment to the windows,window,rules,0.04,True,True,0.55,17,
window,tr,c_synonym,cam açıklıklara yorum ekle,,unresolved,2674.76,False,,,0,no_category_resolved
window,tr,d_no_accent,pencere elemanlarina aciklama ekle,window,rules,0.01,True,True,1.06,17,
window,tr,e_oov_tr,dış cepheye açılan şeffaf elemanlara not gir,window,ollama,2637.15,True,True,1.07,17,
window,en,f_oov_en,annotate the transparent facade openings,window,ollama,2594.76,True,True,0.54,17,
window,en,g_indirect,label elements that let light through the walls,wall,rules,0.01,False,True,0.53,56,
ceiling,tr,a_direct_tr,tavana not ekle,ceiling,rules,0.01,True,True,0.56,2,
ceiling,en,b_direct_en,add a note to the ceiling,ceiling,rules,0.01,True,True,0.52,2,
ceiling,tr,c_synonym,üst yüzeye yorum yaz,,unresolved,2738.69,False,,,0,no_category_resolved
ceiling,tr,d_no_accent,tavan elemanlarina aciklama ekle,ceiling,rules,0.01,True,True,1.04,2,
ceiling,tr,e_oov_tr,iç mekân üst kaplamalarına bilgi gir,ceiling,ollama,2700.73,True,True,1.06,2,
ceiling,en,f_oov_en,annotate the interior overhead surfaces,ceiling,ollama,2637.15,True,True,0.56,2,
ceiling,en,g_indirect,mark the surface directly above the room,room,rules,0.01,False,True,0.56,14,
stair,tr,a_direct_tr,merdivene yorum yaz,stair,rules,0.01,True,True,0.54,3,
stair,en,b_direct_en,annotate the stairs,stair,rules,0.02,True,True,0.56,3,
stair,tr,c_synonym,basamak sistemine açıklama ekle,,unresolved,2766.26,False,,,0,no_category_resolved
stair,tr,d_no_accent,merdiven elemanlarina not yaz,stair,rules,0.02,True,True,1.04,3,
stair,tr,e_oov_tr,katlar arası geçiş yapılarına bilgi gir,,unresolved,2701.63,False,,,0,no_category_resolved
stair,en,f_oov_en,annotate the inter-floor circulation elements,floor,rules,0.01,False,True,1.06,8,
stair,en,g_indirect,tag what you climb to change levels,stair,ollama,2711.17,True,True,1.07,3,
column,tr,a_direct_tr,kolona not ekle,column,rules,0.01,True,True,1.08,3,
column,en,b_direct_en,add a note to the columns,column,rules,0.01,True,True,0.52,3,
column,tr,c_synonym,düşey yapısal elemanlara yorum yaz,,unresolved,2696.99,False,,,0,no_category_resolved
column,tr,d_no_accent,kolon elemanlarina aciklama ekle,column,rules,0.01,True,True,0.56,3,
